,Country,GENC,Year,Area in Square Kilometers,Population,Annual Growth Rate %,Rate of Natural Increase,Population Density (People per Sq. Km.),Natural Increase,Total Fertility Rate,Crude Birth Rate,Gross Reproduction Rate,LifeExp,"Infant Mortality Rate, Both Sexes",Crude Death Rate,"Deaths, both sexes",Net Migration Rate,"Net international migrants, both sexes",Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Continent,Income
404,Cambodia,KH,2015.0,"176,515","15,168,983",1.64,1.85,85.9,"280,499",2.61,24.5,1.28,68.8,34.4,6,"91,610",-2.1,"-31,976",64.6,20.0,42.8,78.8,30.1,22.5,Asia,LM
405,Canada,CA,2015.0,"9,093,507","36,069,803",0.92,0.33,4,"118,059",1.59,10.6,0.77,83.4,4.5,7.3,"264,333",5.9,"211,895",85.31923076923077,32.315384615384616,59.41538461538461,91.13076923076925,76.88076923076923,102.6576923076923,North America,H
406,Chile,CL,2015.0,"743,812","17,507,482",0.81,0.78,23.5,"136,264",1.82,13.8,0.89,78.6,7.3,6,"105,026",0.3,"6,000",55.0,19.2,37.5,49.6,45.1,53.1,South America,H
407,China,CN,2015.0,"9,326,410","1,375,727,075",0.34,0.36,147.5,"4,942,586",1.33,10.4,0.62,76.9,9.1,6.8,"9,390,781",-0.2,"-204,000",48.73333333333333,25.03333333333333,37.15,49.68333333333334,37.4,52.41666666666666,Asia,UM
408,Colombia,CO,2015.0,"1,038,700","45,166,122",0.55,1.09,43.5,"492,706",1.97,16.2,0.96,77.3,13,5.3,"237,559",-5.4,"-245,344",39.9,12.9,26.73333333333333,36.3,30.8,35.56666666666667,South America,UM
409,Costa Rica,CR,2015.0,"51,060","4,832,170",1.27,1.06,94.6,"50,979",1.81,14.9,0.88,79.4,7.6,4.3,"20,840",2.1,"10,230",64.6,22.4,43.9,63.9,55.6,40.7,North America,UM
410,Croatia,HR,2015.0,"55,974","4,335,285",-0.49,-0.28,77.5,"-12,226",1.38,9,0.67,75.7,9.8,11.9,"51,370",-2.1,"-9,206",58.28,11.18,35.28,53.04,45.54,49.4,Europe,H
411,Cuba,CU,2015.0,"109,820","11,213,978",-0.31,0.25,102.1,"28,353",1.71,11,0.83,78.5,4.4,8.4,"94,664",-5.6,"-63,159",55.2,15.5,35.8,37.6,33.9,1.5,North America,UM
412,Cyprus,CY,2015.0,"9,241","1,189,441",1.43,0.48,128.7,"5,747",1.46,11.4,0.71,78.5,9.6,6.6,"7,807",9.5,"11,272",77.86666666666667,16.266666666666666,47.73333333333333,69.0,83.53333333333333,72.33333333333333,Europe,H
413,Denmark,DK,2015.0,"42,434","5,688,232",0.85,0.1,134,"5,650",1.71,10.2,0.83,80.7,3.7,9.2,"52,555",7.5,"42,532",98.83333333333331,35.5,67.9,86.86666666666667,115.8,106.46666666666664,Europe,H
414,Dominican Republic,DO,2015.0,"48,320","10,019,060",1.05,1.29,207.3,"129,172",2.33,19.4,1.14,70.3,25.2,6.5,"64,751",-2.4,"-24,356",59.9,16.0,38.4,58.1,52.2,29.0,North America,UM
415,Ecuador,EC,2015.0,"248,360","16,097,174",1.34,1.59,64.8,"255,507",2.53,20.3,1.23,80.2,12,4.4,"70,901",-2.5,"-40,626",52.7,18.0,35.7,53.0,36.0,36.9,South America,UM
416,El Salvador,SV,2015.0,"20,721","6,205,387",0.67,1.33,299.5,"82,402",2.13,19.2,1.04,73.6,13.8,5.9,"36,735",-6.6,"-40,854",53.5,10.7,32.6,47.2,39.9,29.3,North America,LM
417,Estonia,EE,2015.0,"42,388","1,265,255",-0.56,-0.2,29.8,"-2,490",1.59,10.5,0.78,76.4,3.7,12.5,"15,793",-3.6,"-4,559",61.7,15.65,39.2,49.95,53.7,52.3,Europe,H
418,Ethiopia,ET,2015.0,"1,096,570","94,627,302",2.79,2.73,86.3,"2,578,793",4.49,34.1,2.21,65.1,44.1,6.9,"649,021",0.6,"58,826",52.0,16.9,34.9,48.5,24.7,15.1,Africa,L
419,Finland,FI,2015.0,"303,815","5,477,371",0.41,0.1,18,"5,328",1.75,10.7,0.86,80.9,2.2,9.7,"53,376",3.1,"16,966",88.61666666666667,30.666666666666668,60.31666666666666,80.7,91.4,103.06666666666666,Europe,H
420,France,FR,2015.0,"640,427","66,561,235",0.37,0.31,103.9,"205,361",2.02,12,0.98,82.2,3.3,8.9,"593,799",0.6,"38,559",89.55714285714285,31.985714285714288,61.44285714285714,87.74285714285715,88.54285714285713,87.61428571428571,Europe,H
421,Georgia,GE,2015.0,"69,700","4,967,831",0.3,0.37,71.3,"18,514",2.31,16.6,1.11,72.8,21.7,12.9,"64,138",-0.7,"-3,408",40.2,13.1,26.9,31.6,39.2,26.8,Asia,UM
422,Germany,DE,2015.0,"348,672","83,106,944",1.27,-0.22,238.4,"-180,661",1.5,8.9,0.73,81,3.3,11.1,"918,236",14.8,"1,232,644",77.61,30.0,54.34,66.36,72.55,110.49,Europe,H
423,Ghana,GH,2015.0,"227,533","28,062,643",2.52,2.5,123.3,"701,042",4.05,32.5,2,66.5,38.9,7.6,"212,222",0.2,"6,705",84.1,59.3,72.0,80.2,62.1,11.5,Africa,LM
424,Greece,GR,2015.0,"130,647","10,728,157",-0.61,-0.27,82.1,"-29,336",1.35,8.6,0.65,80.6,4,11.3,"121,183",-3.4,"-36,172",68.5,12.125,40.95,58.15,68.875,50.85,Europe,H
425,Guatemala,GT,2015.0,"107,159","15,720,815",1.86,2.14,146.7,"335,740",3.1,26.5,1.51,71,30.5,5.2,"81,452",-2.8,"-43,234",52.1,15.6,34.2,54.0,36.1,35.6,North America,LM
426,Hungary,HU,2015.0,"89,608","10,002,058",1.5,-0.42,111.6,"-42,310",1.44,9.3,0.7,75.3,4.9,13.5,"135,334",19.2,"192,234",51.2,10.4,31.2,41.2,40.2,48.0,Europe,H
427,Iceland,IS,2015.0,"100,250","331,919",1.21,0.76,3.3,"2,534",2.02,13.9,0.99,83,1.7,6.3,"2,081",4.4,"1,472",105.0,37.2,71.9,107.9,110.3,66.8,Europe,H
428,India,IN,2015.0,"2,973,193","1,297,588,343",1.16,1.18,436.4,"15,268,568",2.3,18.7,1.09,69.5,37.6,6.9,"8,958,160",-0.2,"-255,612",27.44333333333333,6.253333333333333,17.083333333333332,29.07,17.296666666666667,58.32,Asia,LM
429,Indonesia,ID,2015.0,"1,811,569","260,617,061",1.01,1.12,143.9,"2,925,028",2.28,18,1.11,71.2,23.4,6.8,"1,759,598",-1.1,"-294,119",39.46666666666667,14.9,27.46666666666667,43.43333333333334,21.933333333333334,25.5,Asia,LM
430,Iraq,IQ,2015.0,"437,367","34,813,806",2.32,2.38,79.6,"828,518",3.8,28.7,1.85,69.3,24.9,4.9,"171,909",-0.6,"-20,906",57.75,22.65,40.6,45.5,53.85,35.3,Asia,UM
431,Ireland,IE,2015.0,"68,883","4,756,303",1.03,0.74,69,"35,409",1.83,13.8,0.9,81.6,3.4,6.3,"30,127",2.9,"13,632",90.8,33.96666666666667,63.03333333333333,84.76666666666667,97.73333333333332,104.93333333333334,Europe,H
432,Israel,IL,2015.0,"21,497","8,095,117",1.81,1.59,376.6,"128,565",3.12,21.1,1.52,82.1,3.2,5.2,"42,402",2.2,"18,000",80.02000000000001,26.4,53.82000000000001,67.88,84.7,84.16,Asia,H
433,Italy,IT,2015.0,"294,140","61,512,589",-0.05,-0.26,209.1,"-161,791",1.28,7.9,0.62,82,3.3,10.5,"647,571",2.2,"133,123",85.08125,28.0875,57.2375,73.96875,93.15,75.775,Europe,H
434,Jamaica,JM,2015.0,"10,831","2,815,763",-0.08,0.92,260,"25,993",2.12,16.9,1.03,73.6,13.6,7.7,"21,603",-10.1,"-28,287",72.0,20.4,46.8,64.5,48.1,48.5,North America,UM
435,Japan,JP,2015.0,"364,485","126,656,703",-0.13,-0.21,347.5,"-264,755",1.45,8.2,0.71,83.8,2.1,10.3,"1,305,164",0.8,"94,438",81.0,33.55,57.8,80.94999999999999,56.65,101.15,Asia,H
436,Jordan,JO,2015.0,"88,802","9,677,380",5.4,2.02,109,"195,652",3.17,23.7,1.54,74.3,16.3,3.4,"33,189",33.8,"326,761",62.6,16.5,40.1,52.6,59.5,39.1,Asia,UM
437,Kazakhstan,KZ,2015.0,"2,699,700","18,329,222",1.38,1.46,6.8,"266,740",2.65,21.7,1.28,72.4,16.8,7.1,"130,675",-0.7,"-13,466",56.8,20.4,39.0,46.1,61.9,47.2,Asia,UM
438,Kenya,KE,2015.0,"569,140","47,824,362",2.42,2.42,84,"1,156,178",3.83,30.1,1.9,66.7,35.7,5.9,"281,005",0.1,"2,534",54.3,19.3,37.2,54.7,38.9,30.6,Africa,LM
439,Latvia,LV,2015.0,"62,249","1,986,717",-1.05,-0.43,31.9,"-8,622",1.5,10,0.73,74.3,5.4,14.3,"28,488",-6.2,"-12,298",57.7,13.7,36.2,45.8,48.3,43.1,Europe,H
440,Lebanon,LB,2015.0,"10,230","6,179,654",0.85,0.96,604.1,"59,534",1.73,14.5,0.84,77.4,8,4.9,"30,287",-1.1,"-6,794",69.9,33.9,52.3,53.9,73.5,46.8,Asia,UM
441,Libya,LY,2015.0,"1,759,540","6,227,706",1.98,2.11,3.5,"131,178",3.39,27.1,1.65,69.9,15.6,6,"37,414",-1.2,"-7,683",56.6,25.9,41.6,59.0,52.4,44.6,Africa,UM
442,Lithuania,LT,2015.0,"62,680","2,884,632",-1.03,-0.42,46,"-12,059",1.59,10.1,0.77,74.6,3.8,14.3,"41,188",-6.1,"-17,585",53.8,12.7,33.7,44.45,38.8,44.3,Europe,H
443,Luxembourg,LU,2015.0,"2,586","570,327",2.14,0.43,220.5,"2,430",1.61,11.4,0.78,82.4,3.4,7.1,"4,052",17.2,"9,784",90.6,62.2,76.7,77.4,109.6,127.1,Europe,H
444,Malaysia,MY,2015.0,"328,657","31,241,608",1.33,1.17,95.1,"365,350",2.03,16.7,0.98,75.5,6.8,5,"155,786",1.6,"50,000",48.28,14.46,31.76,48.66,27.04,69.5,Asia,UM
445,Maldives,MV,2015.0,298,"392,899",-0.11,1.16,"1,318.50","4,565",1.74,15.5,0.85,75.4,30.2,3.8,"1,506",-12.7,"-4,985",67.1,33.0,50.4,70.0,44.1,26.6,Asia,UM
446,Malta,MT,2015.0,316,"434,537",1.16,0.2,"1,375.10",882,1.45,10,0.71,81.9,5.2,7.9,"3,443",9.6,"4,176",69.7,20.9,45.8,59.5,82.5,80.2,Europe,H
447,Mexico,MX,2015.0,"1,943,945","122,200,093",1.15,1.24,62.9,"1,510,478",2.1,17.9,1.02,74.7,13.9,5.5,"671,908",-0.8,"-100,387",43.65,13.583333333333334,28.950000000000003,43.56666666666666,34.583333333333336,78.23333333333333,North America,UM
448,Moldova,MD,2015.0,"32,891","3,847,644",-0.86,-0.3,117,"-11,558",1.22,9.9,0.59,69.3,14.5,13,"49,821",-5.6,"-21,443",34.9,7.8,21.7,29.9,28.5,23.9,Europe,LM
449,Mongolia,MN,2015.0,"1,553,556","2,992,282",1.3,1.39,1.9,"41,521",2.18,20.2,1.06,69.3,23.4,6.3,"18,977",-0.8,"-2,500",52.6,27.9,40.5,53.3,35.1,23.4,Asia,LM
450,Montenegro,ME,2015.0,"13,452","619,723",-0.24,0.17,46.1,"1,057",1.77,11.9,0.84,76.5,2.2,10.2,"6,329",-4.2,"-2,569",48.3,11.3,30.2,38.9,41.6,40.3,Europe,UM
451,Morocco,MA,2015.0,"716,550","34,207,410",1.13,1.32,47.7,"451,230",2.45,19.9,1.19,71.8,22.7,6.7,"227,617",-1.9,"-64,286",42.5,18.6,30.8,39.0,31.4,40.7,Africa,LM
452,Mozambique,MZ,2015.0,"786,380","26,386,824",2.63,2.81,33.6,"741,756",5.27,41,2.59,52.9,75.3,12.9,"340,134",-1.8,"-48,600",68.8,47.6,58.4,54.9,69.9,39.4,Africa,L
453,Namibia,,2015.0,"823,290","2,388,566",2.01,2.01,2.9,"48,069",3.43,28.4,1.69,63.3,37.4,8.2,"19,638",0,0,54.1,23.0,38.9,50.1,46.4,42.7,Africa,UM
454,Nepal,NP,2015.0,"143,351","28,645,436",1.18,1.42,199.8,"406,286",2.23,20.3,1.08,69.6,33,6.1,"173,989",-2.4,"-69,571",30.7,4.3,17.8,30.2,20.8,19.4,Asia,L
455,Netherlands,NL,2015.0,"33,893","16,897,098",0.46,0.14,498.5,"23,376",1.67,10.1,0.81,81.4,3.2,8.7,"147,134",3.3,"55,106",85.97142857142856,35.885714285714286,61.51428571428572,66.75714285714285,99.88571428571429,105.07142857142856,Europe,H
456,New Zealand,NZ,2015.0,"264,537","4,525,113",1.91,0.65,17.1,"29,463",2.06,13.5,1,81.6,3.8,7,"31,608",12.6,"57,128",94.475,37.375,66.6,92.95,89.55,84.9,Oceania,H
457,Nicaragua,NI,2015.0,"119,990","6,054,280",1.27,1.46,50.5,"88,651",2.07,19.2,1.01,73.9,18.2,4.6,"27,828",-2,"-11,877",51.1,8.5,30.3,43.8,32.2,23.1,North America,LM
458,Nigeria,NG,2015.0,"910,768","188,830,820",2.45,2.59,207.3,"4,883,538",5.05,36.4,2.45,57.5,69,10.5,"1,980,977",-1.4,"-257,399",62.3,27.1,45.1,57.8,52.8,36.2,Africa,LM
459,North Macedonia,MK,2015.0,"25,433","2,105,107",0.26,0.12,82.8,"2,614",1.47,11,0.71,75.3,8.4,9.7,"20,461",1.4,"2,860",42.0,9.6,26.2,35.0,33.4,34.8,Europe,UM
460,Norway,NO,2015.0,"304,282","5,192,607",0.93,0.35,17.1,"18,331",1.74,11.4,0.85,82.3,2.3,7.8,"40,727",5.7,"29,802",121.38,54.3,88.62,113.22,139.82,103.38,Europe,H
461,Oman,OM,2015.0,"309,500","3,279,258",2.06,2.1,10.6,"68,919",2.85,24.4,1.39,75.2,16.6,3.4,"11,052",-0.5,"-1,509",57.9,32.9,45.7,53.0,49.8,106.1,Asia,H
462,Pakistan,PK,2015.0,"770,875","210,462,259",2.11,2.32,273,"4,871,317",3.99,30,1.95,67.4,63.9,6.8,"1,433,999",-2.1,"-439,411",32.075,5.75,19.2,31.15,24.825,33.975,Asia,LM
463,Panama,PA,2015.0,"74,340","3,783,321",1.85,1.5,50.9,"56,597",2.59,20.1,1.26,78.2,13.2,5.1,"19,321",3.5,"13,232",61.1,35.3,48.5,64.6,55.9,38.2,North America,UM
464,Papua New Guinea,PG,2015.0,"452,860","8,057,405",2.64,2.64,17.8,"212,440",4.37,32.5,2.13,67.1,39.8,6.2,"49,672",0,0,105.9,103.6,104.7,118.3,66.3,8.1,Oceania,LM
465,Peru,PE,2015.0,"1,279,996","30,056,046",0.38,1.44,23.5,"432,137",2.43,19.8,1.19,76.4,12.2,5.4,"161,443",-10.6,"-318,293",54.7,21.1,38.3,50.2,37.5,29.8,South America,UM
466,Philippines,PH,2015.0,"298,170","101,817,421",1.64,1.76,341.5,"1,790,415",2.9,23.2,1.42,70.6,23,5.6,"573,740",-1.1,"-116,137",43.625,16.375,30.325,44.2,24.8,30.65,Asia,LM
467,Poland,PL,2015.0,"304,255","38,541,785",-0.11,-0.07,126.7,"-26,800",1.29,9.5,0.63,77.5,4.5,10.2,"392,066",-0.4,"-15,800",44.34444444444445,14.11111111111111,29.56666666666667,36.27777777777778,37.400000000000006,61.77777777777778,Europe,H
468,Portugal,PT,2015.0,"91,470","10,433,546",-0.32,-0.22,114.1,"-23,039",1.31,8.2,0.64,80.5,3,10.4,"108,539",-1,"-10,481",57.16666666666666,18.2,38.13333333333333,45.53333333333333,49.26666666666667,57.9,Europe,H
469,Puerto Rico,PR,2015.0,"8,869","3,472,858",-1.78,0.08,391.6,"2,883",1.32,8.9,0.64,80.5,6.7,8.1,"28,108",-18.7,"-64,757",78.0,26.0,52.6,81.2,69.6,107.5,North America,H
470,Qatar,QA,2015.0,"11,586","2,196,122",3.08,0.85,189.5,"18,630",1.92,9.9,0.95,78.5,7.4,1.4,"3,128",22.3,"48,995",74.0,75.5,74.7,65.0,78.2,114.6,Asia,H
471,Romania,RO,2015.0,"229,891","19,873,138",-0.77,-0.29,86.4,"-56,802",1.64,10.4,0.8,75.2,7.8,13.2,"262,981",-4.8,"-95,377",42.62857142857143,9.571428571428571,26.442857142857143,37.31428571428571,33.81428571428571,39.35714285714285,Europe,UM
472,Saudi Arabia,SA,2015.0,"2,149,690","31,415,279",1.91,1.41,14.6,"444,243",2.23,17.3,1.09,75,14.3,3.2,"99,871",5,"156,156",58.43333333333334,16.766666666666666,38.06666666666667,61.96666666666666,35.43333333333334,109.16666666666669,Asia,H
473,Serbia,RS,2015.0,"77,474","7,052,916",-0.54,-0.54,91,"-38,021",1.44,9.3,0.69,74.6,5.9,14.7,"103,678",0,0,40.833333333333336,7.399999999999999,24.5,33.666666666666664,31.46666666666667,37.833333333333336,Europe,UM
474,Singapore,SG,2015.0,709,"5,512,966",1.17,0.72,"7,775.70","39,552",1.24,10.7,0.6,84.7,1.7,3.6,"19,669",4.5,"25,000",97.9,91.6,94.8,88.4,64.3,73.2,Asia,H
475,Slovenia,SI,2015.0,"20,151","2,099,131",0.06,0.04,104.2,807,1.56,9.8,0.76,80.8,1.6,9.5,"19,834",0.2,507,65.1,18.9,42.5,55.7,55.0,68.7,Europe,H
476,South Africa,ZA,2015.0,"1,214,470","54,726,254",1.21,1.33,45.1,"727,344",2.43,21.1,1.2,68,26.9,7.8,"427,645",-1.2,"-65,533",45.3,17.080000000000002,31.520000000000003,40.44,40.32,102.94,Africa,UM
477,Spain,ES,2015.0,"498,980","46,117,462",-0.01,-0.01,92.4,"-2,278",1.39,9.1,0.67,82.3,2.7,9.2,"422,568",0,"-1,761",67.0875,22.1625,45.125,56.3625,66.4125,74.4375,Europe,H
478,Sri Lanka,LK,2015.0,"64,630","20,899,161",1.15,0.96,323.4,"200,224",2.22,16.1,1.09,75.9,7.6,6.5,"135,873",1.9,"39,366",43.7,12.9,28.6,52.6,24.6,27.3,Asia,LM
479,Sudan,SD,2015.0,"1,861,484","39,395,587",2.9,2.78,21.2,"1,095,481",5.04,35.1,2.46,64.7,48.9,7.3,"288,978",1.2,"46,310",52.3,15.1,34.1,52.0,35.8,51.3,Africa,LM
480,Sweden,SE,2015.0,"410,335","9,838,542",1.04,0.24,24,"23,905",1.83,11.7,0.88,82.2,2.5,9.2,"90,907",8,"78,410",82.93333333333334,31.46666666666667,57.76666666666667,80.06666666666666,84.53333333333335,116.96666666666664,Europe,H
481,Switzerland,CH,2015.0,"39,997","8,282,143",0.83,0.23,207.1,"18,953",1.53,10.5,0.74,82.8,3.8,8.2,"67,606",6,"49,364",129.21666666666667,59.56666666666666,95.18333333333334,131.45000000000002,134.11666666666667,141.91666666666666,Europe,H
482,Tajikistan,TJ,2015.0,"141,510","8,525,261",2.6,2.66,60.2,"226,414",3.8,32.1,1.85,69.5,30.8,5.6,"47,467",-0.6,"-4,820",42.0,14.1,28.4,39.1,31.5,20.1,Asia,LM
483,Tanzania,TZ,2015.0,"885,800","51,891,917",3.29,3.06,58.6,"1,585,577",4.92,37.2,2.42,65.7,41.5,6.7,"346,389",2.4,"123,364",62.8,35.7,49.6,62.1,43.8,25.4,Africa,L
484,Thailand,TH,2015.0,"510,890","68,067,372",0.43,0.38,133.2,"259,398",1.53,11,0.74,75.6,7.6,7.2,"491,719",0.5,"35,882",52.26666666666667,18.3,35.7,56.36666666666667,27.2,35.166666666666664,Asia,UM
485,Tunisia,TN,2015.0,"155,360","11,161,137",1.13,1.33,71.8,"148,261",2.34,19.6,1.14,75.2,13.8,6.3,"70,731",-2,"-21,947",35.5,9.2,22.7,34.2,25.7,34.4,Africa,LM
486,Uganda,UG,2015.0,"197,100","36,111,900",3.33,3.81,183.2,"1,375,105",5.98,44.5,2.95,65.6,39,6.4,"231,177",-4.7,"-171,109",62.6,9.8,36.8,69.3,33.1,20.7,Africa,L
487,Ukraine,UA,2015.0,"579,330","44,409,198",-0.65,-0.43,76.7,"-188,546",1.52,10.7,0.74,71.2,8.4,14.9,"661,865",-2.3,"-100,000",41.46666666666667,13.583333333333334,27.83333333333333,35.21666666666667,36.75,26.55,Europe,LM
488,United Arab Emirates,AE,2015.0,"83,600","9,308,415",1.4,0.92,111.3,"85,632",1.64,10.5,0.8,78.2,5.8,1.3,"11,696",4.8,"44,547",65.46666666666665,60.43333333333334,63.03333333333333,60.46666666666667,59.6,105.13333333333333,Asia,H
489,United Kingdom,GB,2015.0,"241,930","64,868,357",0.8,0.28,268.1,"184,151",1.85,12,0.9,81,3.9,9.1,"593,006",5.1,"332,269",93.76521739130436,38.7695652173913,66.90434782608695,86.0391304347826,98.18260869565216,93.02608695652174,Europe,H
490,United States,US,2015.0,"9,151,125","320,738,994",0.74,0.39,35,"1,265,867",--,12.4,--,--,--,8.5,"2,712,630",3.2,"1,021,684",81.1,40.74029850746268,61.37611940298507,87.27014925373135,73.21044776119403,121.04626865671642,North America,H
491,Uruguay,UY,2015.0,"175,015","3,344,293",0.27,0.36,19.1,"12,143",1.82,13,0.89,77.1,9.3,9.4,"31,469",-0.9,"-3,000",67.4,21.5,45.0,59.9,63.2,46.4,South America,H
492,Uzbekistan,UZ,2015.0,"425,400","31,081,613",1.78,1.87,73.1,"582,106",2.52,23.6,1.21,74.7,20.4,4.9,"152,035",-0.9,"-29,300",58.3,13.6,36.5,50.8,53.2,21.8,Asia,LM
493,Vietnam,VN,2015.0,"310,070","96,197,851",1.21,1.24,310.2,"1,194,740",2.1,18,0.99,74.4,16.7,5.6,"537,898",-0.3,"-28,636",44.45,14.95,30.05,39.65,24.0,24.75,Asia,LM
494,Zimbabwe,ZW,2015.0,"386,847","14,072,188",1.94,2.55,36.4,"358,683",3.91,34.3,1.93,62,42.2,8.8,"124,299",-6.1,"-85,124",69.2,21.8,46.0,62.0,54.7,30.4,Africa,L
495,Albania,AL,2016.0,"27,398","3,045,854",0.31,0.64,111.2,"19,543",1.51,13,0.72,78.8,11.6,6.6,"20,037",-3.3,"-10,000",35.6,9.2,22.9,28.0,30.2,41.2,Europe,UM
496,Algeria,DZ,2016.0,"2,381,740","40,652,703",2.11,2.21,17.1,"898,671",3.18,26.3,1.55,77.4,21.5,4.1,"168,329",-1,"-41,254",32.2,10.2,21.6,33.6,24.1,48.7,Africa,UM
497,Argentina,AR,2016.0,"2,736,690","43,886,223",0.93,0.94,16,"413,566",2.28,16.9,1.1,77.1,10.4,7.5,"330,076",-0.1,"-4,356",67.8,21.2,45.4,54.2,67.3,73.8,South America,UM
498,Armenia,AM,2016.0,"28,203","3,051,140",-0.18,0.39,108.2,"11,852",1.64,13.3,0.77,74.6,13.9,9.4,"28,645",-5.7,"-17,468",36.7,10.7,24.2,28.6,31.4,34.4,Asia,LM
499,Australia,AU,2016.0,"7,682,300","23,980,152",1.65,0.64,3.1,"152,607",1.83,13,0.89,82.4,3.2,6.6,"158,497",10.2,"243,830",79.22500000000001,39.91666666666666,60.35,78.25,76.5,140.43333333333334,Oceania,H
500,Austria,AT,2016.0,"82,445","8,710,175",0.51,-0.01,105.6,-880,1.47,9.5,0.71,81.5,3.4,9.6,"83,226",5.2,"44,849",66.36666666666667,25.433333333333334,46.66666666666666,60.46666666666667,63.4,127.63333333333333,Europe,H
501,Azerbaijan,AZ,2016.0,"82,629","10,124,248",1.1,1.09,122.5,"110,116",2.04,16.9,0.95,75,11,6,"60,922",0.2,"1,522",30.7,11.5,21.5,26.1,31.1,40.4,Asia,UM
502,Bahrain,BH,2016.0,760,"1,378,755",2.33,1.07,"1,814.20","14,784",1.76,13.4,0.87,78.9,11.4,2.7,"3,731",12.6,"17,354",49.3,31.3,40.7,44.4,56.8,107.5,Asia,H
503,Bangladesh,BD,2016.0,"130,170","156,085,586",1.05,1.36,"1,199.10","2,121,326",2.19,18.9,1.07,73.2,35.1,5.3,"828,768",-3.1,"-480,958",38.6,6.6,23.2,35.1,23.3,43.2,Asia,LM
504,Belarus,BY,2016.0,"202,900","9,690,871",0.07,-0.02,47.8,"-1,611",1.7,12.2,0.82,74.2,2.6,12.3,"119,364",0.8,"7,940",40.5,14.9,28.2,33.0,49.6,40.1,Europe,UM
505,Belgium,BE,2016.0,"30,278","11,401,905",0.71,0.15,376.6,"16,956",1.78,11.4,0.87,80.8,3.4,9.9,"112,481",5.6,"64,349",78.33333333333333,27.33333333333333,53.86666666666667,73.56666666666666,83.83333333333333,107.96666666666664,Europe,H
506,Bermuda,BM,2016.0,54,"70,601",0.47,0.29,"1,307.40",205,1.94,11.3,0.95,81.1,2.3,8.4,591,1.8,128,132.3,120.9,126.8,128.6,120.4,118.9,North America,H
507,Brazil,BR,2016.0,"8,358,140","208,323,342",0.76,0.77,24.9,"1,609,666",1.7,13.8,0.83,75.4,13.4,6.1,"1,263,443",-0.1,"-26,536",39.23,12.43,26.360000000000003,30.69,31.82,51.510000000000005,South America,UM
508,Bulgaria,BG,2016.0,"108,489","7,144,269",-0.6,-0.57,65.9,"-40,851",1.46,8.8,0.71,74.5,8.7,14.5,"103,603",-0.3,"-2,074",35.46666666666667,7.933333333333334,22.23333333333333,30.866666666666664,26.566666666666663,61.0,Europe,UM
509,Cambodia,KH,2016.0,"176,515","15,416,146",1.59,1.8,87.3,"277,779",2.58,24,1.26,69.1,33.3,6,"91,907",-2.1,"-31,976",53.3,18.4,36.5,58.2,25.8,20.0,Asia,LM
510,Canada,CA,2016.0,"9,093,507","36,404,804",0.93,0.31,4,"113,691",1.58,10.5,0.77,83.5,4.5,7.4,"269,411",6.2,"226,358",65.92173913043479,25.808695652173917,46.64782608695653,66.5695652173913,60.03913043478261,132.63478260869564,North America,H
511,Chile,CL,2016.0,"743,812","17,648,507",0.79,0.76,23.7,"133,786",1.81,13.7,0.89,78.7,7.2,6.1,"107,255",0.3,"6,000",43.2,13.0,28.700000000000003,38.400000000000006,32.099999999999994,92.7,South America,H
512,China,CN,2016.0,"9,326,410","1,382,148,409",0.59,0.6,148.2,"8,302,081",1.66,12.9,0.78,77.1,8.5,6.9,"9,543,077",-0.1,"-198,000",53.15,35.35,44.625,58.975,33.925,96.15,Asia,UM
513,Colombia,CO,2016.0,"1,038,700","45,425,599",0.6,1.08,43.7,"489,759",1.97,16.1,0.96,77.7,12.6,5.3,"239,486",-4.8,"-218,167",29.566666666666663,8.933333333333332,19.633333333333333,25.8,21.5,46.833333333333336,South America,UM
514,Costa Rica,CR,2016.0,"51,060","4,894,270",1.29,1,95.9,"48,830",1.75,14.3,0.86,79.8,7.3,4.3,"21,174",2.9,"14,161",60.4,19.5,40.7,61.3,48.9,60.8,North America,UM
515,Croatia,HR,2016.0,"55,974","4,313,911",-0.49,-0.3,77.1,"-13,122",1.39,9,0.68,75.9,9.7,12,"51,913",-1.9,"-8,193",48.275,9.6,29.65,40.975,36.55,63.900000000000006,Europe,UM
516,Cyprus,CY,2016.0,"9,241","1,205,878",1.38,0.47,130.5,"5,694",1.46,11.3,0.71,78.6,9.4,6.6,"7,977",9.1,"10,951",60.23333333333333,12.933333333333332,37.5,51.16666666666666,61.23333333333333,92.53333333333336,Europe,H
517,Denmark,DK,2016.0,"42,434","5,733,361",0.73,0.15,135.1,"8,790",1.79,10.8,0.87,80.8,3.2,9.2,"52,824",5.8,"33,287",83.1,28.05,56.625,68.75,96.225,136.95,Europe,H
518,Dominican Republic,DO,2016.0,"48,320","10,123,067",1.02,1.27,209.5,"128,424",2.31,19.2,1.13,70.6,24.7,6.5,"65,823",-2.5,"-25,227",55.1,15.4,36.0,50.2,43.6,26.6,North America,UM
519,Ecuador,EC,2016.0,"248,360","16,309,320",1.28,1.56,65.7,"254,777",2.49,20,1.22,80.8,11.9,4.3,"70,783",-2.8,"-45,366",47.93333333333334,13.1,31.166666666666668,48.23333333333333,31.3,47.9,South America,UM
