,Country,GENC,Year,Continent,Income,Area in Square Kilometers,Population,Annual Growth Rate %,Rate of Natural Increase,Population Density (People per Sq. Km.),Natural Increase,Total Fertility Rate,Crude Birth Rate,Gross Reproduction Rate,LifeExp,"Infant Mortality Rate, Both Sexes",Crude Death Rate,"Deaths, both sexes",Net Migration Rate,"Net international migrants, both sexes",Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
675,Rwanda,RW,2017,Africa,L,24668,11899254,2.45,2.43,482.4,289124,3.87,30.7,1.91,64.3,29.7,6.4,75720,0.2,2082,41.3,13.7,28.1,32.7,28.2,27.3
676,Saudi Arabia,SA,2017,Asia,H,2149690,32567388,1.7,1.31,15.1,425334,2.11,16.3,1.03,75.5,13.7,3.3,105789,3.9,128038,54,15.15,35.38,52.58,32.58,131.2
677,Serbia,RS,2017,Europe,UM,77474,6978391,-0.56,-0.56,90.1,-38828,1.46,9.3,0.71,74.9,5.5,14.9,103722,0,0,35.3,8.2,22.3,26.05,29.75,39.8
678,Singapore,SG,2017,Asia,H,709,5637272,1.06,0.61,7951,34621,1.16,9.8,0.57,85.2,1.6,3.7,20657,4.4,25000,82.4,70.2,76.6,71.7,58.3,92.7
679,Slovenia,SI,2017,Europe,H,20151,2101369,0.04,-0.04,104.3,-773,1.58,9.4,0.77,81.1,1.6,9.8,20601,0.8,1597,58.7,17.7,39.1,48.2,48.7,72.2
680,South Africa,ZA,2017,Africa,UM,1214470,56019667,1.19,1.32,46.1,741795,2.43,20.7,1.2,69.2,24.4,7.5,417981,-1.4,-77310,43.33,19.27,31.8,36.23,39.5,98.73
681,Spain,ES,2017,Europe,H,498980,46268801,0.29,-0.07,92.7,-31342,1.37,8.5,0.67,82.7,2.7,9.2,424523,3.5,163272,56.57,19.78,38.94,46.95,53.52,85.87
682,Sri Lanka,LK,2017,Asia,LM,64630,21012393,-0.14,0.88,325.1,184702,2.19,15.3,1.07,76.4,7.3,6.5,136845,-10.2,-214495,38.2,12.2,25.8,39.8,21.6,24.9
683,Sweden,SE,2017,Europe,H,410335,10094338,1.21,0.23,24.6,23373,1.77,11.4,0.86,82.5,2.3,9.1,91972,9.8,98869,75.1,30.68,53.8,67.7,78.18,115.13
684,Switzerland,CH,2017,Europe,H,39997,8418657,0.63,0.24,210.5,20410,1.54,10.4,0.74,83.3,3.4,8,66971,3.9,32436,123.91,57.69,92.17,122.89,122.34,109.26
685,Tanzania,TZ,2017,Africa,L,885800,55303380,3.07,3.02,62.4,1668191,4.79,36.2,2.36,67.3,37.5,6.1,334892,0.5,26959,56.2,32.3,44.7,43.1,37.1,25.3
686,Thailand,TH,2017,Asia,UM,510890,68607190,0.38,0.35,134.3,238108,1.53,10.8,0.74,76.4,7,7.3,500169,0.3,18843,46.48,16.45,32.08,52.85,24,38.5
687,Tunisia,TN,2017,Africa,LM,155360,11403062,1.01,1.18,73.4,134865,2.23,18.2,1.08,75.7,13.3,6.3,72106,-1.7,-19517,30.9,7.2,19.5,29.2,20.6,38.5
688,Ukraine,UA,2017,Europe,LM,579330,43940088,-0.54,-0.54,75.8,-236601,1.38,9.3,0.67,71.8,8.1,14.7,647090,0,0,26.08,8.45,17.63,19.72,19.88,27.88
689,United Arab Emirates,AE,2017,Asia,H,83600,9543192,1.07,0.96,114.2,91728,1.69,10.9,0.82,78.6,5.6,1.3,12691,1.1,10460,66.63,58.87,62.9,55.93,57.93,121.9
690,United Kingdom,GB,2017,Europe,H,241930,65783069,0.67,0.24,271.9,157591,1.76,11.5,0.86,81.3,3.9,9.1,597450,4.3,284544,69.11,30.8,50.74,57.51,75.32,99.61
691,United States,US,2017,North America,H,9151125,325122128,0.63,0.32,35.5,1041997,--,11.9,--,--,--,8.7,2813503,2.5,827150,77.54,42.38,60.69,78.94,72.95,121.79
692,Uruguay,UY,2017,South America,H,175015,3362462,0.27,0.36,19.2,12039,1.8,13,0.88,77.4,9,9.4,31510,-0.9,-3000,70.2,19.3,45.8,56.5,67.8,32.4
693,Vietnam,VN,2017,Asia,LM,310070,98482273,1.12,1.15,317.6,1131092,2.04,17.1,0.96,74.6,16.2,5.7,557096,-0.3,-27000,42.8,17.6,30.75,42.05,22.3,27.15
694,Zimbabwe,ZW,2017,Africa,L,386847,14735230,2.42,2.39,38.1,352722,3.7,32.2,1.82,63.2,39.6,8.2,121349,0.3,3719,52.5,15.4,34.7,42.5,42.3,26.5
695,Albania,AL,2018,Europe,UM,27398,3064357,0.29,0.62,111.8,18853,1.52,13.1,0.73,78.9,11.5,6.9,21177,-3.3,-10000,39.3,10,25.2,31.8,32.1,38
696,Algeria,DZ,2018,Africa,UM,2381740,42343850,1.95,2.04,17.8,864911,3.1,24.5,1.51,77.8,20.4,4.1,173089,-0.9,-39164,37.1,8.6,23.4,38.4,22.9,33.4
697,Argentina,AR,2018,South America,UM,2736690,44693790,0.89,0.9,16.3,402453,2.25,16.5,1.09,77.5,10.1,7.5,333331,-0.1,-4142,56,15.6,36.5,48.2,56.5,60
698,Armenia,AM,2018,Asia,UM,28203,3038152,-0.24,0.32,107.7,9631,1.64,12.6,0.78,75.1,13.3,9.4,28673,-5.6,-17007,34.1,9.4,22.2,27.7,31.8,32.5
699,Australia,AU,2018,Oceania,H,7682300,24748006,1.5,0.58,3.2,142371,1.74,12.4,0.85,82.6,3.1,6.7,165018,9.3,229665,83.29,42.67,63.71,80.16,81.71,123.2
700,Austria,AT,2018,Europe,H,82445,8790907,0.42,-0.02,106.6,-1569,1.48,9.5,0.72,81.7,3.4,9.7,85228,4.4,38264,82.83,29.77,57.27,78.67,75.53,100.13
701,Azerbaijan,AZ,2018,Asia,UM,82629,10315182,0.79,0.78,124.8,80035,1.76,13.7,0.82,75.6,11,5.9,61124,0.2,1640,31.3,9.6,20.9,27.9,32.3,29.2
702,Bahrain,BH,2018,Asia,H,760,1442415,2.18,1.03,1897.9,14825,1.73,13,0.85,79.2,11.1,2.8,3976,11.6,16668,59,30.7,45.3,57.6,54.8,67.6
703,Bangladesh,BD,2018,Asia,LM,130170,159341784,1.01,1.32,1224.1,2095753,2.15,18.5,1.05,73.7,33.5,5.4,854280,-3,-480958,33.6,6.8,20.7,31.9,23.5,37.7
704,Belarus,BY,2018,Europe,UM,202900,9672800,-0.17,-0.27,47.7,-26032,1.43,9.7,0.69,74.6,2.1,12.4,120042,1,9362,35.3,11.3,23.7,28.6,38.1,43.8
705,Belgium,BE,2018,Europe,H,30278,11559893,0.66,0.14,381.8,16475,1.78,11.3,0.87,81.1,3.4,9.8,113603,5.2,60191,85.58,30.08,58.83,75.9,94.68,95.8
706,Bermuda,BM,2018,North America,H,54,71240,0.43,0.26,1319.3,183,1.93,11.2,0.94,81.4,2.3,8.7,617,1.7,122,145.4,110.9,128.8,143.5,158.8,112.3
707,Bolivia,BO,2018,South America,LM,1083301,11456219,1.43,1.54,10.6,176027,2.63,21,1.28,73.3,22.7,5.7,64852,-1,-11704,36.1,14.3,25.6,29.4,29.2,57.6
708,Brazil,BR,2018,South America,UM,8358140,211669594,0.8,0.8,25.3,1697689,1.77,14.2,0.86,76,12.2,6.1,1299592,0,-4920,53.32,15.05,34.88,41.51,43.99,42.57
709,Bulgaria,BG,2018,Europe,UM,108489,7056613,-0.63,-0.61,65,-42660,1.47,8.5,0.71,74.8,8.5,14.6,102877,-0.3,-2038,41.63,9.15,25.95,36.53,33.98,53.65
710,Cambodia,KH,2018,Asia,LM,176515,15900821,1.5,1.7,90.1,270827,2.51,22.8,1.23,69.9,31.3,5.8,92094,-2,-31976,49.2,17.4,33.9,53.7,24.6,26.4
711,Canada,CA,2018,North America,H,9093507,37043971,0.84,0.25,4.1,93257,1.55,10.2,0.76,83.5,4.5,7.7,286101,5.9,216585,73.49,29.94,52.49,71.93,69.98,115.53
712,Chile,CL,2018,South America,H,743812,17921978,0.75,0.71,24.1,127592,1.79,13.4,0.88,79,7,6.2,111881,0.3,6000,56.8,17.8,38,48.2,55.3,50.6
713,China,CN,2018,Asia,UM,9326410,1395959772,0.37,0.38,149.7,5358255,1.47,10.9,0.69,77.5,7.3,7.1,9916005,-0.1,-186000,45.73,25.25,35.83,47.05,32.43,79.2
714,Colombia,CO,2018,South America,UM,1038700,46674420,3.2,1.05,44.9,489703,1.96,15.8,0.96,78.3,12,5.3,246968,21.5,1004215,35.97,11.2,24.03,30.73,26.97,37
715,Costa Rica,CR,2018,North America,UM,51060,5016488,1.31,0.92,98.2,46146,1.71,13.6,0.83,80.3,6.6,4.5,22303,3.9,19768,60.5,19.3,40.6,61,49.5,48.9
716,Croatia,HR,2018,Europe,H,55974,4271543,-0.49,-0.35,76.3,-14910,1.41,8.9,0.68,76.3,9.4,12.4,52871,-1.4,-6166,56.13,12.38,35.05,47.6,46.25,56.8
717,Cuba,CU,2018,North America,UM,109820,11115979,-0.27,0.18,101.2,19573,1.71,10.6,0.83,78.9,4.3,8.9,98417,-4.5,-49889,62.7,12,38.3,41.4,28.2,1.9
718,Cyprus,CY,2018,Europe,H,9241,1237560,1.28,0.44,133.9,5498,1.47,11.2,0.72,79,9.1,6.7,8332,8.3,10306,63.23,17.6,41.23,51.87,70.6,88.97
719,Denmark,DK,2018,Europe,H,42434,5809375,0.58,0.16,136.9,9220,1.78,10.9,0.86,81,3.2,9.3,54186,4.3,24714,93.57,37.43,66.5,74.27,108.37,109.7
720,Dominican Republic,DO,2018,North America,UM,48320,10325539,0.96,1.22,213.7,126108,2.28,18.8,1.12,71.3,23.8,6.6,68195,-2.6,-26968,49.1,12.5,31.4,42.3,46.4,28.8
721,Ecuador,EC,2018,South America,UM,248360,16868883,2.65,1.5,67.9,253655,2.42,19.3,1.18,81.5,11.4,4.3,72561,11.4,192640,45.57,12.67,29.73,43.03,33.23,37.97
722,El Salvador,SV,2018,North America,LM,20721,6368195,0.97,1.31,307.3,83198,2.11,19,1.03,74.4,13.1,5.9,37656,-3.4,-21389,50.3,12.8,32.2,51.3,37.3,28.6
723,Estonia,EE,2018,Europe,H,42388,1243890,-0.6,-0.3,29.3,-3680,1.6,9.9,0.78,77,3.6,12.8,15959,-3.1,-3800,58,16.05,37.75,43.85,58.35,74.6
724,Ethiopia,ET,2018,Africa,L,1096570,102694422,2.62,2.63,93.7,2701118,4.28,32.6,2.11,66.6,38.9,6.3,642518,-0.1,-7379,50.3,24.4,37.8,43.6,22.5,13.6
725,Finland,FI,2018,Europe,H,303815,5538400,0.33,0.06,18.2,3022,1.75,10.6,0.85,81.2,2.2,10.1,55925,2.8,15345,85.73,31.67,59.67,72.5,94.07,116.77
726,France,FR,2018,Europe,H,640427,67370049,0.35,0.22,105.2,149609,1.93,11.3,0.94,82.7,3.1,9,609101,1.3,85345,84.16,29.2,57.65,78.13,81.28,100.41
727,Georgia,GE,2018,Asia,UM,69700,4990787,0.01,0.22,71.6,11146,2.12,14.6,1.02,73.8,20.1,12.3,61447,-2.2,-10783,29.7,10.6,20.5,24.6,29.2,35.6
728,Germany,DE,2018,Europe,H,348672,84333044,0.24,-0.19,241.9,-155635,1.58,9.3,0.77,81.5,3.2,11.2,943158,4.2,353472,75.41,29.85,53.44,59.62,71.64,128.19
729,Ghana,GH,2018,Africa,LM,227533,30197001,2.38,2.37,132.7,716141,3.84,30.6,1.89,67.8,35.7,6.9,207355,0.1,3512,61.9,32.3,47.6,60.1,40.1,14.1
730,Greece,GR,2018,Europe,H,130647,10668856,-0.27,-0.36,81.7,-38413,1.37,8.1,0.66,80.9,3.7,11.7,125031,0.9,9243,62.33,11.67,37.87,50,60.03,55.4
731,Guatemala,GT,2018,North America,UM,107159,16572901,1.71,1.95,154.7,323541,2.87,24.6,1.4,71.8,28.6,5,83606,-2.4,-40116,47,15.5,31.8,43.6,37.2,41.4
732,Hungary,HU,2018,Europe,H,89608,10062551,-0.11,-0.46,112.3,-46505,1.48,9.1,0.72,75.8,4.7,13.7,137571,3.5,35429,47.95,14.2,31.65,39.25,36.7,52
733,Iceland,IS,2018,Europe,H,100250,343534,1.09,0.71,3.4,2446,1.99,13.6,0.97,83.1,1.7,6.4,2211,3.7,1283,123.8,57.2,91.7,118.2,133.2,88.9
734,India,IN,2018,Asia,LM,2973193,1341470939,1.06,1.08,451.2,14450605,2.15,17.3,1.02,71.2,32.3,6.6,8793487,-0.2,-263783,27.65,6.95,17.66,28.59,19.25,75.21
735,Indonesia,ID,2018,Asia,LM,1811569,268149316,0.9,0.99,148,2648784,2.15,16.6,1.05,72,21.5,6.7,1808084,-0.9,-234635,40.85,8.8,25.4,45.42,20.05,35
736,Iraq,IQ,2018,Asia,UM,437367,37164456,2.24,2.28,85,845631,3.55,26.9,1.73,71.6,22.3,4.2,155132,-0.4,-13717,47.6,14.35,31.55,41,42.55,50.65
737,Ireland,IE,2018,Europe,H,68883,4919892,1.5,0.61,71.4,29882,1.73,12.4,0.84,82.2,2.8,6.3,31140,8.9,43977,86.43,41.1,64.58,74.73,88.03,96.93
738,Israel,IL,2018,Asia,H,21497,8540601,1.76,1.55,397.3,132216,3.09,20.5,1.51,82.8,2.9,5.1,43202,2.1,18000,86.15,36.9,62.38,71.25,93.58,104.63
739,Italy,IT,2018,Europe,H,294140,61488598,-0.03,-0.32,209,-193386,1.21,7.2,0.59,82.8,3,10.3,633133,2.9,175364,79.91,27.17,54.49,69.91,82.99,76.92
740,Japan,JP,2018,Asia,H,364485,125918130,-0.26,-0.33,345.5,-417389,1.42,7.6,0.69,84.2,2,10.9,1372698,0.8,94438,90.87,28.53,60.8,99.1,52.87,97.97
741,Jordan,JO,2018,Asia,UM,88802,10457794,2.02,2.02,117.8,210849,3.14,23.6,1.52,75,15.3,3.4,35755,0,0,58.5,14.6,37.3,49.6,55.6,41.8
742,Kazakhstan,KZ,2018,Asia,UM,2699700,19062449,1.25,1.4,7.1,267329,2.72,20.9,1.32,73.7,11.8,6.8,130426,-1.5,-29120,36.75,13.3,25.45,30.7,37.15,43.65
743,Kenya,KE,2018,Africa,LM,569140,51187423,2.26,2.29,89.9,1169607,3.59,28.3,1.78,68.1,32,5.4,277345,-0.2,-10691,42.1,12.3,27.7,40.4,34.3,27.9
744,Latvia,LV,2018,Europe,H,62249,1924381,-1.07,-0.5,30.9,-9619,1.52,9.6,0.74,74.9,5.1,14.6,28067,-5.7,-11050,54.9,15.2,35.8,42.6,51.1,53.8
745,Lebanon,LB,2018,Asia,UM,10230,6093900,-3.13,0.9,595.7,54958,1.72,14.1,0.84,77.9,7.6,5.1,30814,-40.4,-245886,65,35,50.5,47.5,66.6,52.7
746,Lithuania,LT,2018,Europe,H,62680,2797002,-1.03,-0.49,44.6,-13752,1.6,9.9,0.78,75.1,3.7,14.8,41295,-5.4,-15069,53,13.97,34.17,42.4,47.47,57.83
747,Luxembourg,LU,2018,Europe,H,2586,605984,1.91,0.43,234.3,2614,1.62,11.6,0.79,82.5,3.4,7.2,4383,14.8,8938,95.4,61.6,79.1,82.7,109.6,127.4
748,Malaysia,MY,2018,Asia,UM,328657,32425760,1.17,1.02,98.7,329914,1.86,15.5,0.9,75.7,6.8,5.3,172031,1.5,50000,48.16,11.67,30.56,55.07,24.21,61.2
749,Malta,MT,2018,Europe,H,316,449044,0.99,0.21,1421,957,1.48,10,0.72,82.7,4.8,7.9,3544,7.8,3480,78.9,36.2,58.3,69.3,89.2,74.9
750,Mexico,MX,2018,North America,UM,1943945,126119342,0.95,1.02,64.9,1291219,1.94,16.1,0.94,75,13.4,5.8,733665,-0.7,-90541,34.57,10.31,22.87,32.19,31.29,61.25
751,Moldova,MD,2018,Europe,LM,32891,3680426,-1.52,-0.38,111.9,-13954,1.2,9,0.58,70.4,13.5,12.8,47174,-11.4,-42049,34.1,9.4,22.1,27.6,25.5,31.4
752,Mongolia,MN,2018,Asia,LM,1553556,3103126,1.12,1.2,2,37085,2.04,18.2,1,70.2,21.9,6.3,19480,-0.8,-2500,38.1,11.3,25.2,37.2,25.6,33.7
753,Montenegro,ME,2018,Europe,UM,13452,614229,-0.34,0.15,45.7,897,1.83,11.9,0.9,76.9,3.4,10.4,6396,-4.9,-3005,44.7,11.1,28.5,35.6,37.8,51.8
754,Morocco,MA,2018,Africa,LM,716550,35339189,1.04,1.22,49.3,430257,2.38,18.8,1.16,72.6,21.1,6.6,233102,-1.8,-63949,40.2,14.95,28,35.55,28.2,46.3
755,Mozambique,MZ,2018,Africa,L,786380,28556573,2.66,2.81,36.3,802502,5.12,39.8,2.52,54.6,68.3,11.7,334726,-1.6,-44400,45.3,18.6,32.4,36.6,41.9,33.1
756,Namibia,,2018,Africa,UM,823290,2533465,1.91,1.91,3.1,48414,3.21,26.7,1.58,64.6,33.1,7.6,19331,0,0,51.8,23.1,38,47.8,43.7,55.5
757,Nepal,NP,2018,Asia,L,143351,29622964,1.01,1.34,206.6,395662,2.07,19,1,71.3,27.6,5.6,165812,-3.3,-96952,36.1,5.8,21.5,33.2,21.9,23.7
758,Netherlands,NL,2018,Europe,H,33893,17190111,0.59,0.09,507.2,15162,1.59,9.8,0.78,81.8,3.4,8.9,153363,5,86372,82.29,38.39,61.11,67.41,90.71,106.64
759,New Zealand,NZ,2018,Oceania,H,264537,4779927,1.61,0.58,18.1,27915,1.88,12.8,0.92,81.9,3.6,6.9,33120,10.3,49083,84.1,36.13,60.95,78.45,77.08,109.15
760,North Macedonia,MK,2018,Europe,UM,25433,2118782,0.18,0.11,83.3,2390,1.49,10.8,0.72,75.9,8,9.7,20461,0.7,1475,38.5,9.3,24.4,30.7,29.1,42
761,Norway,NO,2018,Europe,H,304282,5314312,0.61,0.27,17.5,14280,1.57,10.4,0.76,82.8,2,7.7,40840,3.4,18103,115.58,42.95,80.57,105.95,130.5,107.15
762,Oman,OM,2018,Asia,H,309500,3485106,2,2.04,11.3,71049,2.8,23.7,1.37,75.9,15.7,3.3,11541,-0.4,-1488,51.2,25.4,38.8,46.8,51.6,103.5
763,Pakistan,PK,2018,Asia,LM,770875,223911895,2.13,2.2,290.5,4935552,3.76,28.5,1.83,68.5,59.3,6.4,1435926,-0.8,-171816,29.13,7.67,18.77,26.97,23.83,44.57
764,Panama,PA,2018,North America,H,74340,4038693,2.85,1.39,54.3,56193,2.47,19,1.2,78.9,15,5.1,20686,14.6,58975,57.2,32.5,45.3,56.5,52.9,38.2
765,Paraguay,PY,2018,South America,UM,397302,7022461,1.18,1.19,17.7,83225,1.9,16.6,0.93,77.5,25.5,4.7,33260,-0.1,-504,36.2,10.7,23.9,30.9,27.6,34.7
766,Peru,PE,2018,South America,UM,1279996,30771840,2.78,1.3,24,400801,2.33,18.5,1.14,77.2,11,5.5,168484,14.7,453264,43.9,17.9,31.4,39.9,31.5,39.6
767,Philippines,PH,2018,Asia,LM,298170,106513195,1.57,1.61,357.2,1719128,2.73,21.9,1.33,70.9,22.2,5.8,613572,-0.4,-45945,39.75,12.83,26.78,39.35,21.98,34.33
768,Poland,PL,2018,Europe,H,304255,38485708,-0.08,-0.09,126.5,-34531,1.44,9.8,0.7,77.7,4.5,10.7,412532,0.1,3600,45.49,16.28,31.41,36.35,37.98,70.97
769,Portugal,PT,2018,Europe,H,91470,10342137,-0.27,-0.25,113.1,-25566,1.39,8.2,0.68,80.9,2.6,10.7,110448,-0.2,-2464,55.1,19,37.68,45.78,43.56,64.34
770,Puerto Rico,PR,2018,North America,H,8869,3295244,-1.69,-0.08,371.5,-2739,1.21,8,0.59,80.9,6.4,8.8,28958,-16,-52804,68.8,26.1,48.2,66.2,57.7,116.2
771,Qatar,QA,2018,Asia,H,11586,2365810,1.96,0.82,204.2,19387,1.91,9.6,0.95,79,7.1,1.4,3359,11.4,27011,66.1,66.8,66.5,58,65.8,120.9
772,Romania,RO,2018,Europe,UM,229891,19382573,-0.89,-0.26,84.3,-49729,1.89,11.1,0.92,75.8,5.7,13.6,264317,-6.4,-123048,39.32,10.09,25.21,32.81,32.48,57.47
773,Rwanda,RW,2018,Africa,L,24668,12184782,2.3,2.35,494,286045,3.75,29.7,1.85,64.5,29.1,6.3,76203,-0.5,-6194,37.2,11.9,25,31.3,27.3,28.2
774,Saudi Arabia,SA,2018,Asia,H,2149690,33119193,1.66,1.25,15.4,415407,2.07,15.8,1.01,75.7,13.5,3.3,108827,4.1,134829,49.58,14.83,32.8,42.98,33.85,127.03
775,Serbia,RS,2018,Europe,UM,77474,6940138,-0.54,-0.54,89.6,-37680,1.46,9.2,0.7,75.3,4.8,14.7,101655,0,0,40.07,8.5,24.83,31.07,32.67,42.43
776,Singapore,SG,2018,Asia,H,709,5696047,1.02,0.58,8033.9,32930,1.14,9.5,0.56,85.5,1.6,3.7,21181,4.4,25000,91.4,71.9,82,83.6,64.4,95.9
777,Slovenia,SI,2018,Europe,H,20151,2102031,0.02,-0.08,104.3,-1644,1.58,9.2,0.78,81.2,1.6,10,20955,1,2144,65.5,20.6,43.8,54.8,57.7,74.7
778,South Africa,ZA,2018,Africa,UM,1214470,56687475,1.18,1.32,46.7,745526,2.42,20.5,1.2,69.8,23.3,7.3,414090,-1.3,-74395,48.82,19.34,34.62,41.06,45.42,97.78
779,Spain,ES,2018,Europe,H,498980,46474373,0.6,-0.12,93.1,-54944,1.33,8,0.65,82.8,2.7,9.2,427721,7.2,334158,62.57,23,43.49,53.17,60.85,87.65
780,Sri Lanka,LK,2018,Asia,UM,64630,21110598,1.07,0.85,326.6,180058,2.19,15.1,1.07,76.6,7.2,6.5,137887,2.2,46146,37.7,9.9,24.3,42,22.7,27.6
781,Sweden,SE,2018,Europe,H,410335,10210063,1.07,0.23,24.9,23589,1.75,11.3,0.84,82.6,2.2,9,92185,8.4,85621,82.82,31.98,58.32,76.18,88.02,116.76
782,Switzerland,CH,2018,Europe,H,39997,8470888,0.61,0.25,211.8,20763,1.55,10.4,0.75,83.5,3.2,7.9,67088,3.6,30853,130.08,56.05,94.37,132.23,127.77,128.87
783,Tanzania,TZ,2018,Africa,L,885800,56982920,2.92,2.97,64.3,1694149,4.7,35.5,2.31,68.1,35.6,5.8,328588,-0.5,-30219,49.7,24.6,37.6,34.8,33.6,18.9
784,Thailand,TH,2018,Asia,UM,510890,68854623,0.35,0.33,134.8,223947,1.53,10.6,0.75,76.7,6.9,7.4,507980,0.2,13967,51.03,17.88,35.03,57.68,27,40.48
785,Tunisia,TN,2018,Africa,LM,155360,11515254,0.95,1.11,74.1,127337,2.17,17.4,1.05,75.9,13,6.3,72825,-1.6,-18300,30.1,7.4,19.1,29.5,18.2,34.3
786,Uganda,UG,2018,Africa,L,197100,40574927,2.76,3.8,205.9,1539938,5.72,43.7,2.82,67.2,35,5.7,232803,-10.4,-420562,34.1,7.6,21.3,28,26.6,23.4
787,Ukraine,UA,2018,Europe,LM,579330,43780461,-0.19,-0.65,75.6,-282652,1.3,8.6,0.63,71.6,8.2,15.1,661097,4.6,200000,26.78,9.12,18.28,20.92,21,30.08
788,United Arab Emirates,AE,2018,Asia,H,83600,9638206,0.91,0.96,115.3,92298,1.68,11,0.82,78.8,5.5,1.4,13209,-0.5,-4457,65.67,53.67,59.83,55.47,59.03,126.07
789,United Kingdom,GB,2018,Europe,H,241930,66196401,0.58,0.19,273.6,124923,1.68,11.1,0.82,81.3,3.8,9.2,606281,3.9,259606,76.88,33.93,56.17,63.66,83.91,107.11
790,United States,US,2018,North America,H,9151125,326838199,0.53,0.29,35.7,952507,--,11.6,--,--,--,8.7,2839205,2,651793,74.83,40.66,58.35,76.58,72.26,124.08
791,Uruguay,UY,2018,South America,H,175015,3371478,0.27,0.36,19.3,11994,1.79,12.9,0.88,77.6,8.9,9.4,31526,-0.9,-3000,67.2,21.1,45,54.3,70.9,35.7
792,Vietnam,VN,2018,Asia,LM,310070,99578720,1.09,1.12,321.1,1114982,2.05,16.9,0.95,74.7,15.9,5.7,567142,-0.3,-26182,40.6,16.7,29.05,41.25,21.9,32
793,Zimbabwe,ZW,2018,Africa,LM,386847,15085455,2.28,2.4,39,361543,3.68,31.9,1.81,63.8,38.7,7.9,119611,-1.2,-17535,50.7,14.2,33.1,45.4,36.2,26.9
794,Albania,AL,2019,Europe,UM,27398,3072944,0.27,0.6,112.2,18321,1.52,13,0.73,78.9,11.5,7.1,21730,-3.3,-10000,37.6,9.9,24.3,29.7,29.5,33.8
795,Algeria,DZ,2019,Africa,LM,2381740,43163934,1.89,1.99,18.1,858603,3.1,24,1.51,78.1,19.9,4.1,175397,-1,-44182,33.1,7.9,21,34.4,21.2,32.9
796,Argentina,AR,2019,South America,UM,2736690,45089449,0.87,0.88,16.5,397040,2.23,16.2,1.08,77.6,9.9,7.4,335138,-0.1,-4034,35.3,10.6,23.4,28.6,34,53.5
797,Armenia,AM,2019,Asia,UM,28203,3030310,-0.27,0.28,107.4,8483,1.64,12.3,0.78,75.4,13.1,9.5,28630,-5.5,-16791,32.6,9.9,21.7,25.6,32.7,33.7
798,Australia,AU,2019,Oceania,H,7682300,25113987,1.43,0.57,3.3,142366,1.74,12.4,0.85,82.7,3.1,6.7,169137,8.7,217560,71.49,36.95,54.91,65.39,72.39,128.63
799,Austria,AT,2019,Europe,H,82445,8825644,0.37,-0.03,107,-2192,1.49,9.5,0.72,81.8,3.4,9.8,86225,4,34971,73.03,26.63,50.77,67.47,69.33,96
800,Azerbaijan,AZ,2019,Asia,UM,82629,10397396,0.8,0.79,125.8,82365,1.83,13.8,0.86,75.9,10.9,5.9,61215,0,388,29.7,9.2,19.8,24.3,32.2,31.6
801,Bahrain,BH,2019,Asia,H,760,1473724,2.11,1.01,1939.1,14813,1.71,12.8,0.84,79.3,10.9,2.8,4099,11.1,16311,56,28.6,42.8,50.7,53,70.9
802,Bangladesh,BD,2019,Asia,LM,130170,160947649,0.99,1.29,1236.4,2077894,2.13,18.3,1.04,73.9,32.7,5.4,867555,-3,-480958,33.9,6,20.5,31,20.4,38.4
803,Belarus,BY,2019,Europe,UM,202900,9657105,-0.15,-0.3,47.6,-28589,1.43,9.5,0.69,74.7,2.1,12.4,120042,1.4,13870,33.4,10.3,22.3,27.9,36.1,46
804,Belgium,BE,2019,Europe,H,30278,11635321,0.64,0.14,384.3,16080,1.78,11.2,0.87,81.3,3.3,9.8,114077,5,58110,72.63,26.65,50.58,59.3,82.68,94.23
805,Bolivia,BO,2019,South America,LM,1083301,11620835,1.42,1.47,10.7,170935,2.54,20.3,1.24,73.6,22.1,5.6,65419,-0.5,-6024,38.55,12.1,25.9,31.9,31,45.25
806,Brazil,BR,2019,South America,UM,8358140,213349354,0.78,0.77,25.5,1637105,1.77,14.1,0.86,75.9,13.4,6.4,1360312,0.1,29646,44.28,12.21,28.89,32.2,38.14,40.34
807,Bulgaria,BG,2019,Europe,UM,108489,7011475,-0.65,-0.62,64.6,-43560,1.48,8.4,0.72,74.9,8.4,14.6,102486,-0.3,-2018,37.68,8.9,23.85,32.13,31.18,52.18
808,Cambodia,KH,2019,Asia,LM,176515,16129716,1.36,1.6,91.4,257486,2.42,21.7,1.18,70.3,30.4,5.7,91847,-2.4,-38545,47.4,18,33.3,46.4,25.7,16.4
809,Canada,CA,2019,North America,H,9093507,37350365,0.81,0.24,4.1,88335,1.56,10.3,0.76,83.4,4.5,7.9,294346,5.8,214609,65.57,29.77,48.37,63,62.68,111.66
810,Chile,CL,2019,South America,H,743812,18053934,0.72,0.69,24.3,124322,1.78,13.2,0.87,79.2,6.9,6.3,114281,0.3,6000,50.6,16.8,34.4,42.1,52.4,52.1
811,China,CN,2019,Asia,UM,9326410,1400797713,0.32,0.33,150.2,4683626,1.45,10.6,0.68,77.7,6.8,7.2,10087971,-0.1,-180000,42.38,23.38,33.26,42.62,31.96,74.16
