,Country,GENC,Year,Continent,Income,Area in Square Kilometers,Population,Annual Growth Rate %,Rate of Natural Increase,Population Density (People per Sq. Km.),Natural Increase,Total Fertility Rate,Crude Birth Rate,Gross Reproduction Rate,LifeExp,"Infant Mortality Rate, Both Sexes",Crude Death Rate,"Deaths, both sexes",Net Migration Rate,"Net international migrants, both sexes",Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
110,South Africa,ZA,2011,Africa,UM,1214470,52373434,1.18,1.26,43.1,660607,2.44,21.4,1.21,64.7,33.4,8.8,460220,-0.9,-45147,73.87,39.93,61.7,61.53,58.13,65.43
111,Spain,ES,2011,Europe,H,498980,46466588,0.1,0.18,93.1,84088,1.38,10.2,0.66,81.9,3.2,8.4,387911,-0.8,-37699,76.97,36.77,62.54,54.87,67.64,66.63
112,Sweden,SE,2011,Europe,H,410335,9503419,0.71,0.23,23.2,21832,1.89,11.8,0.92,81.7,2.1,9.5,89938,4.8,45288,107.45,33.9,81.05,92.85,97.35,77.6
113,Switzerland,CH,2011,Europe,H,39997,8027848,0.58,0.23,200.7,18717,1.45,10.1,0.7,82.5,3.6,7.7,62091,3.4,27583,139.62,73.44,115.84,145.56,117.66,125.02
114,Thailand,TH,2011,Asia,UM,510890,66668257,0.59,0.48,130.5,318533,1.57,12,0.76,73.9,9,7.2,478578,1.1,74293,44.3,24,37,47,25.2,22
115,Ukraine,UA,2011,Europe,LM,579330,45603516,-0.32,-0.36,78.7,-161993,1.47,11,0.71,70.7,9,14.6,664588,0.4,17096,50.4,26.3,41.8,31.9,49.5,39.3
116,United Arab Emirates,AE,2011,Asia,H,83600,8302211,3.53,0.89,99.3,73987,1.59,10.1,0.79,77.6,7,1.2,9963,26.4,219123,80.95,84.5,82.2,61.7,101.15,107.5
117,United Kingdom,GB,2011,Europe,H,241930,62994194,0.76,0.42,260.4,263238,2,12.8,0.97,80.9,4.3,8.6,544492,3.4,215341,92.73,50.29,77.49,91.36,87.19,86.46
118,United States,US,2011,North America,H,9151125,311583481,0.73,0.46,34,1438132,--,12.7,--,--,--,8.1,2515458,2.7,830305,82.17,48.11,69.94,76.1,67.53,109.92
119,Uruguay,UY,2011,South America,UM,175015,3309991,0.24,0.41,18.9,13445,1.89,13.5,0.93,76.4,9.8,9.5,31312,-1.6,-5400,72.1,18.3,52.8,61,52.4,44.1
120,Vietnam,VN,2011,Asia,LM,310070,91568196,1.21,1.25,295.3,1141689,1.99,17.9,0.94,73.9,17.8,5.5,499664,-0.4,-31908,44.4,38,42.1,40.3,31.2,51.3
121,Algeria,DZ,2012,Africa,UM,2381740,37412252,2.1,2.19,15.7,818983,3,26.1,1.46,76.2,23.9,4.3,159017,-0.9,-34694,40.6,13.2,30.7,42.5,31.3,23.7
122,Argentina,AR,2012,South America,UM,2736690,42216144,0.98,0.99,15.4,419270,2.3,17.5,1.11,76.5,10.9,7.6,319048,-0.1,-4785,61.85,20.45,46.95,54.05,54.55,41.25
123,Armenia,AM,2012,Asia,LM,28203,3067011,-0.09,0.51,108.7,15777,1.63,14.4,0.76,73.6,15.1,9.2,28267,-6,-18483,63.4,25.9,49.9,37.7,57.6,19.6
